ID,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Code,Skill,Category,Subcategory,Overall description,Guidance notes,Level 1 description,Level 2 description,Level 3 description,Level 4 description,Level 5 description,Level 6 description,Level 7 description
26,,,,4,5,6,,TECH,Specialist advice,Strategy and architecture,Advice and guidance,Providing authoritative advice and direction in a specialist area.,"The skill includes developing and exploiting specialist knowledge.
The expertise and specialist knowledge may relate to a specific area of information or communications technology, digital working, techniques, methodologies, products or application areas.
It may also include the application of professional knowledge in other disciplines to information and technology topics. These include disciplines such as — but not limited to — legal, finance, public relations, communications, ethics, human resources management.",,,,"Provides detailed and specific advice regarding the application of their specialism to the organisation's planning and operations. 
Actively maintains knowledge in one or more identifiable specialisms.
Recognises and identifies the boundaries of their own specialist knowledge. 
Where appropriate, collaborates with other specialists to ensure advice given is appropriate to the organisation's needs.","Provides definitive and expert advice in their specialist area. 
Actively maintains recognised expert level knowledge in one or more identifiable specialisms.  
Oversees the provision of specialist advice by others. Consolidates expertise from multiple sources, including third-party experts, to provide coherent advice to further organisational objectives. 
Supports and promotes the development and sharing of specialist knowledge within the organisation.","Provides organisational leadership and guidelines to promote the development and exploitation of specialist knowledge in the organisation. 
Maintains a network of recognised experts (inside and/or outside the organisation) who can deliver expert advice in relevant areas. 
Provides input into professional development planning across a significant part of the organisation to further the development of appropriate expertise.",
27,,,3,4,5,6,,METL,Methods and tools,Strategy and architecture,Advice and guidance,Ensuring methods and tools are adopted and used effectively throughout the organisation.,"There is a wide range of methods and tools supporting areas such as — but not limited to — planning, development, testing, operation, management and maintenance of systems.
Activities may include — but are not limited to:

assessing,  selecting and implementing methods and tools
measuring, tailoring, improving and automating the use of methods and tools.
",,,"Provides support on the use of existing methods and tools. 
Configures methods and tools within a known context. 
Creates and updates the documentation of methods and tools.","Provides advice and guidance to support the adoption of methods and tools and adherence to policies and standards. 
Tailors processes in line with agreed standards and evaluation of methods and tools. 
Reviews and improves usage and application of methods and tools.","Provides advice, guidance and expertise to promote adoption of methods and tools and adherence to policies and standards. 
Evaluates and selects appropriate methods and tools in line with agreed policies and standards. Contributes to organisational policies, standards, and guidelines for methods and tools.
Implements methods and tools at programme, project and team levels including selection and tailoring in line with agreed standards. 
Manages reviews of the benefits and value of methods and tools. Identifies and recommends improvements.","Develops organisational policies, standards, and guidelines for methods and tools. 
Sets direction and leads in the introduction and use of techniques, methodologies and tools, to meet business requirements. 
Leads the development of organisational capabilities for methods and tools to ensure consistent adoption and adherence to policies and standards.",
28,,,,,5,6,7,POMG,Portfolio management,Change and transformation,Change implementation,"Developing and applying a management framework to define and deliver a portfolio of programmes, projects and/or ongoing services.","Activities include — but are not limited to:

alignment of investment with specific business strategies and objectives
a strategic investment appraisal and decision-making process
assessment of cost, risk, inter-dependencies, and impact on existing business activities
identifying issues with portfolio structure, cost, risk, inter-dependencies, impact on current business activities and the strategic benefits to be realised
implementing portfolio management practices that support iterative/agile working
measurement and objective evaluation of potential changes and the benefits to be realised
prioritisation of resource utilisation and changes to be implemented
regular review of portfolios
management of the service pipeline (proposed or in development), service catalogue (live or available for deployment) and retired services.
",,,,,"Ensures that programme/project leads and/or service owners adhere to the agreed portfolio management approach and timetable. 
Explains what information is needed and ensures they provide this information to agreed targets of timelines and accuracy. 
Produces reports as appropriate for portfolio governance, including making recommendations for changes to the portfolio.","Engages and influences senior managers to ensure the portfolio will deliver the agreed business objectives. 
Leads the definition of a portfolio of programmes, projects, and/or on-going service provision. Plans, schedules, monitors and reports on portfolio-related activities. Ensures that each part of the portfolio contributes to the overall achievement of the portfolio. 
Identifies portfolio-related issues. Notifies projects/programmes/change initiatives of issues and recommends and monitors corrective action. 
Collects, summarises and reports on portfolio measures. Reports on portfolio status as appropriate.","Authorises the structure of portfolios and aligns the portfolio with strategies, objectives and emerging opportunities. 
Leads the definition, implementation and review of the organisation’s portfolio management framework.  Sets parameters for the prioritisation of resources and the changes to be implemented. 
Recommends and implements corrective action by engaging and influencing senior management. 
Leads the on-going monitoring and review of portfolios for impact on current business activities and the strategic benefits to be realised. Implements portfolio governance arrangements and effective reporting."
29,,,,,,6,7,PGMG,Programme management,Change and transformation,Change implementation,"Identifying, planning and coordinating a set of related projects and activities in support of specific business strategies and objectives.","Activities may include — but are not limited to:

managing interdependencies in support of specific business strategies and objectives
maintaining a strategic view over the set of projects
providing the framework for implementing business initiatives, or large-scale change
implementing programme management practices to support iterative/agile working
conceiving, maintaining and communicating a vision of the programme's outcomes and associated benefits
agreeing business requirements, and translation of requirements into operational plans
determining, monitoring and reviewing programme scope, costs, schedule and expected benefits
scheduling programme resources, inter-dependencies and programme risk.
",,,,,,"Plans, directs and co-ordinates activities to manage and implement a programme from initiation to final transition into operational, business-as-usual management. 
Plans, schedules, monitors, and reports on programme-related activities. Ensures appropriate and effective governance arrangements and comprehensive reporting and communication policies are in place and followed. 
Maintains an awareness of current technical developments that may provide opportunities to the programmes. 
Ensures that programmes are managed to realise agreed business benefits within agreed timescales.","Sets organisational strategy governing the direction and conduct of programme management, including the application of appropriate methodologies. 
Plans, directs, and co-ordinates activities to manage and implement complex programmes from initiation to full integration with operational, business-as-usual management. Aligns the programme objectives with business objectives, and authorises the selection and planning of all related projects and activities. 
Plans, schedules, monitors, and reports on programme-related activities. 
Ensures alignment with and adherence to appropriate and effective governance arrangements supported by comprehensive reporting and communication strategies."
30,,,,4,5,6,7,PRMG,Project management,Change and transformation,Change implementation,"Delivering agreed outcomes from projects using appropriate management techniques, collaboration, leadership and governance.","This skill is applicable to all project management techniques and life cycles — which can be on a continuum from predictive (plan-driven) approaches to adaptive (iterative/agile) approaches.
Activities may include — but are not limited to:

selecting techniques and life cycle models based on the context of the project 
establishing team structures and a collaborative working environment
communicating with stakeholders and maintaining awareness of business needs and priorities
using visual techniques for project tracking and reporting 
timeboxing and incremental deliveries 
defining deliverables, milestones and dependencies
applying change control and risk management processes
acquiring the necessary resources and skills
agreeing constraints of cost, timescales, quality and scope
reviewing experiences and learning from current and previous projects
ensuring that projects are formally closed and reviewed.

An understanding of project size and complexity is helpful when applying the project management skill. Typical factors that influence project complexity include the complexity of resourcing, scale of organisational impact, use of new technologies, number of interdependences, stability of requirements, business implications, and risks.",,,,"Defines, documents and executes small projects or sub-projects. 
Works alone or with a small team actively participating in all phases of the project. Applies appropriate project management methods and tools. Identifies, assesses and manages risks effectively.  
Agrees project approach with stakeholders and prepares realistic project plans (including scope, schedule, quality, risk and communication plans). Tracks activities against the project schedule, managing stakeholder involvement as appropriate. 
Monitors costs, times, quality and resources used takes action where these exceed agreed tolerances.","Takes full responsibility for the definition, approach, facilitation and satisfactory completion of medium-scale projects. 
Provides effective leadership to the project team. Adopts appropriate project management methods and tools. Manages the change control process and assesses and manages risks. Ensures that realistic project plans are maintained and delivers regular and accurate communication to stakeholders. 
Ensures project and product quality reviews occur on schedule and according to procedure.  Ensures that project deliverables are completed within agreed cost, timescale and resource budgets, and are formally accepted, by appropriate stakeholders. 
Monitors costs, times, quality and resources used and takes action where  performance deviates from agreed tolerances.","Takes full responsibility for the definition, documentation and successful completion of complex projects. 
Adopts and adapts project management methods and tools. Ensures that effective project monitoring and control processes, change control, risk management and quality processes are employed and maintained. 
Monitors and controls resources, revenue and capital expenditures against the project budget. 
Manages the expectations of key project stakeholders.","Sets organisational strategy governing the direction and conduct of project management, including selection and application of methodologies. 
Authorises the management of large-scale projects. 
Leads project planning, scheduling, controlling and reporting activities for strategic, high impact, high risk projects. 
Directs the risk management approach for projects  and ensures that risks and issues are managed in line with policy."
31,,2,3,4,5,6,,PROF,"Portfolio, programme and project support",Change and transformation,Change implementation,"Providing support and guidance on portfolio, programme and project management processes, procedures, tools and techniques.","Activities may include — but are not limited to:

defining portfolios, programmes, and projects
cultivating and applying new or changed working practices across a portfolio
managing the rate at which new projects are started to fit the available capacity
advising on the development, production and maintenance of business cases time, resource, cost and exception plans
advising on the use of software tools
tracking and reporting progress and performance 
facilitating portfolio/programme/project meetings and workshops
advising and sharing knowledge on standards and how to comply.
",,"Assists with the compilation of portfolio, programme and project management reports. 
Maintains programme and project files from supplied actual and forecast data.","Provides administrative services to project boards, project assurance teams and quality review meetings. 
Uses recommended portfolio, programme and project control solutions for planning, scheduling and tracking. 
Sets up project files, compiles and distributes reports.
Provides guidance on project management software, procedures, processes, tools and techniques.","Supports programme or project control boards, project assurance teams and quality review meetings. 
Takes responsibility for the provision of support services to projects. Uses and recommends project control solutions for planning, scheduling and tracking projects. 
Sets up and provides detailed guidance on project management software, procedures, processes, tools and techniques.
Provides basic guidance on individual project proposals. May provide a cross programme view on risk, change, quality, finance or configuration management.","Takes responsibility for the provision of portfolio, programme and project support. 
Advises on the available standards, procedures, methods, tools and techniques. 
Evaluates project and/or programme performance and recommends changes where necessary. 
Contributes to reviews and audits of project and programme management to ensure conformance to standards.","Leads implementation and delivery of portfolio, programme and project office services. 
Defines the approach/policy and sets standards for the support provided for managing and monitoring portfolios, programmes, and projects. 
Manages resources to ensure delivery of effective services/resources in line with current and planned demand. 
Reviews and improves the delivery portfolio, programme and project office services.",
32,,,3,4,5,6,,BUSA,Business situation analysis,Change and transformation,Change analysis,Investigating business situations to define recommendations for improvement action.,"Activities may include — but are not limited to:

planning for business situation analysis
establishing the investigative approach 
engaging with relevant stakeholders
reviewing the strategic context, including the organisation’s vision, mission, objectives, strategy and tactics and external business environment
defining problems and analysing root causes
identifying potential changes to address problems or to take advantage of opportunities
gaining agreement to conclusions and recommendations.
",,,"Investigates straightforward business situations to identify and analyse problems and opportunities. 
Contributes to the recommendation of improvements. 
Follows agreed standards and techniques to investigate, analyse and document business situations. 
Engages with stakeholders under direction.","Investigates business situations where there is some complexity and ambiguity. 
Adopts holistic view to identify and analyse problems and opportunities. 
Contributes to the selection of the approach and techniques to be used for business situation analysis. 
Conducts root cause analysis and identifies recommendations for improvements. Engages and collaborates with operational stakeholders.","Plans, manages and investigates business situation analysis where there is significant ambiguity and complexity. 
Advises on the approach and techniques to be used for business situation analysis. Ensures holistic view adopted to identify and analyse wide-ranging problems and opportunities. 
Engages and collaborates with a wide range of stakeholders, including those at the management level. Gains agreement from stakeholders to conclusions and recommendations. 
Contributes to definition of organisational standards and guidelines for business situation analysis.","Initiates and leads business situation analysis where there is extensive ambiguity, complexity and potentially significant organisational impacts. 
Establishes and promotes the need for holistic business situation analysis prior to change programme initiation. 
Engages with stakeholders at executive level and advises on recommended change initiatives. 
Defines organisational policies, standards and techniques for business situation analysis.",
33,,,3,4,5,6,,FEAS,Feasibility assessment,Change and transformation,Change analysis,"Defining, evaluating and describing business change options for financial, technical and business feasibility, and strategic alignment.","Activities may include — but are not limited to:

generating and defining options
ensuring options align with the organisation’s vision, mission, objectives, strategy and tactics
engaging with relevant stakeholders and specialists
evaluating options for financial, technical and business feasibility.

Feasibility assessment is multi-dimensional. Options for change must be evaluated from several dimensions including — but not limited to — financial, technical, organisational capability and culture, strategic context, economic and/or commercial environment.
Feasibility assessment typically results in a documented business case used to support organisational decision-making about proposed investments. This skill is focused on the generation, analysis and documentation of investment options.
",,,"Supports option identification and feasibility assessment.
Selects and employs standard techniques to get the information required for feasibility assessment. 
Supports identification of tangible costs and benefits, and development of business cases.","Selects relevant feasibility assessment approaches and techniques. 
Identifies the range of possible options. Undertakes short-listing of options and feasibility assessment. 
Engages with internal and external stakeholders to get the information required for feasibility assessment. 
Supports preparation of business cases including cost/benefit, impact and risk analysis for each option.","Manages investigative work to enable feasibility assessments. 
Collaborates with stakeholders and specialists to get the information required for feasibility assessment. 
Advises on the selection of feasibility assessment approaches and techniques relevant to the business situation and options. 
Prepares business cases, including cost/benefit, impact and risk analysis for each option.","Establishes an organisational framework and standards for feasibility assessment and business case development. 
Directs and leads feasibility assessments for initiatives that will have a significant impact on the organisation. 
Engages with senior stakeholders to clarify the strategic context for investment options. Directs and leads the selection of feasibility assessment approaches and techniques that are relevant to the business situation and options. 
Presents feasibility assessments and business cases to senior stakeholders and supports decision-making regarding investment options.",
34,,2,3,4,5,6,,REQM,Requirements definition and management,Change and transformation,Change analysis,Managing requirements through the entire delivery and operational life cycle.,"Requirements may be related to software, systems, data, processes, products or services.
Activities may include — but are not limited to:

eliciting and analysing requirements — both functional and non-functional 
ensuring that customer requirements and priorities are accurately reflected
organising and prioritising requirements using techniques such as — but not limited to — product roadmaps, epics, user stories and backlogs
specifying and validating requirements and constraints to a level that enables effective development and operations of new or changed software, systems, processes, products or services
negotiating trade-offs that are acceptable to key stakeholders and within budgetary, technical, regulatory, and other constraints
adopting and adapting requirements management life cycle models.

The requirements life cycle approach will be based on the context of the work and may be selected from predictive (plan-driven) or adaptive (iterative/agile) approaches.",,"Uses standard techniques to elicit, specify, and document requirements for simple subject areas with clearly-defined boundaries. 
Assists in the definition and management of requirements.  
Assists in the creation of a requirements baseline.
Assists in investigating and applying authorised changes.","Defines and manages scoping, requirements definition and prioritisation activities for small-scale changes and assists with more complex change initiatives.
Follows agreed standards and applies appropriate techniques to elicit and document detailed requirements. Provides constructive challenge to stakeholders as required. Reviews requirements for errors and omissions. 
Prioritises requirements and documents traceability to source. 
Provides input to the requirements base-line. Investigates, manages and applies authorised requests for changes to base-lined requirements, in line with change management policy.","Defines and manages scoping, requirements definition and prioritisation activities for initiatives of medium size and complexity. 
Contributes to selecting the requirements approach. 
Facilitates input from stakeholders, provides constructive challenge and enables effective prioritisation of requirements. 
Establishes requirements base-lines, obtains formal agreement to requirements, and ensures traceability to source.","Plans and drives scoping, requirements definition and prioritisation activities for large, complex  initiatives. 
Selects, adopts and adapts appropriate requirements definition and management methods, tools and techniques. Contributes to the development of organisational methods and standards for requirements management.
Obtains input from, and agreement to requirements from a diverse range of stakeholders. Negotiates with stakeholders to manage competing priorities and conflicts. 
Establishes requirements baselines. Ensures changes to requirements are investigated and managed.","Champions the importance and value of requirements management principles and selecting effective requirements management life cycle models. 
Develops organisational policies, standards, and guidelines for requirements definition and management. 
Plans and leads scoping, requirements definition and priority setting for complex, strategic programmes.
Drives adoption of, and adherence to, policies and standards. Develops new methods and organisational capabilities for requirements management.",
35,,2,3,4,5,6,,BSMO,Business modelling,Change and transformation,Change analysis,"Producing abstract or distilled representations of real-world, business or gaming situations.","Predominantly focused on the representation of processes, roles, data, organisation and time. Models may be used to represent a subject at varying levels of detail and decomposition.
Business models are typically created to communicate and provide insights about existing, conceptual or proposed scenarios. As such, they are likely to be working models that allow comparisons of alternative outcomes based on changing inputs and parameters.
This skill shouldn't be applied to the creation of all diagrams related to describing and explaining business concepts. Refer to other SFIA skills, including — but not limited to — Business situation analysis, Data design and modelling, Enterprise and business architecture, Organisation design. 
",,"Understands the purpose and benefits of modelling. 
Uses established techniques, as directed, to model simple subject areas with clearly-defined boundaries. 
May assist in more complex modelling activities. 
Develops models under the guidance of subject matter experts.","Conversant with techniques covering the full range of modelling situations. 
Models current and desired scenarios as directed. Selects appropriate modelling techniques for meeting assigned objectives. 
Gains agreement from subject matter experts on models produced. 
Reviews resulting models with stakeholders and resolves identified issues.","Conducts advanced modelling activities for significant change programmes and across multiple business functions. 
Has in-depth knowledge of organisation-specific techniques. 
Plans own modelling activities, selecting appropriate techniques and the correct level of detail for meeting assigned objectives. May contribute to discussions about the choice of modelling approach. 
Obtains input from and communicates modelling results to senior managers for agreement.","Produces models in support of the business strategy. 
Has in-depth knowledge of a broad range of industry-wide modelling techniques. Advises on the choice of techniques and approaches and influences customers accordingly. 
Develops bespoke models for unusual contexts. 
Responsible for planning and coordinating team modelling activities and for ensuring the quality of their work.","Defines modelling standards and quality targets for an organisation. 
Has continuing responsibility for the maintenance of models for a designated function. 
Initiates organisation-wide modelling improvement activities and obtains customer buy-in to general changes. 
May represent own organisation as a modelling expert in industry initiatives.",
36,,2,3,4,5,6,,BPTS,Acceptance testing,Change and transformation,Change analysis,"Validating systems, products, business processes or services to determine whether the acceptance criteria have been satisfied.","Activities include — but are not limited to:

setting and applying standards for acceptance testing
planning, identifying, designing, managing, executing and reporting on the outcomes of acceptance tests
encouraging effective and efficient collaboration with a range of relevant stakeholders
requesting and enabling formal acceptance of systems, products or services
creating measurable acceptance criteria related to functional and non-functional requirements, features, business processes, user stories and business rules
devising acceptance test cases and scenarios from acceptance criteria
enabling exploratory testing by stakeholders to discover unexpected behaviours
deploying model office testing to simulate real-world working practices and system usage.

The acceptance testing approach will be based on the context of the work and may be selected from predictive (plan-driven) or adaptive (iterative/agile) approaches.",,"Assists in planning, preparing and executing acceptance tests for systems, products, business processes or services.
Assists in collecting feedback from acceptance testing.","Follows agreed standards and techniques to devise and execute test cases and scenarios based on pre-defined acceptance criteria. 
Analyses and reports on test activities, results, issues and risks.","Develops acceptance criteria related to functional and non-functional requirements, business processes, features, user stories and business rules. 
Designs, specifies and executes test cases and scenarios to test that systems, products and services fulfil the acceptance criteria and deliver the predicted business benefits. 
Collaborates with project colleagues and stakeholders involved in the analysis, development and operation of products, systems or services to ensure accuracy and comprehensive test coverage. 
Analyses and reports on test activities, results, issues and risks including the work of others.","Plans and manages acceptance testing activity.
Specifies the acceptance testing environment for systems, products, business processes and services. Manages the creation of acceptance test cases and scenarios. Ensures that defined tests reflect realistic operational conditions and required level of coverage. 
Ensure tests and results are documented, analysed and reported to stakeholders, and required actions taken. Highlights issues and risks identified during testing to stakeholders. 
Provides authoritative advice and guidance on planning and execution of acceptance tests.","Leads the implementation and delivery of the organisation's approach to acceptance testing. 
Engages with senior stakeholders to secure organisational commitment and resources needed for effective acceptance testing. 
Reports on any significant risks or issues related to acceptance testing and recommends required actions. 
Develops organisational policies, standards, and guidelines for acceptance testing. Develops acceptance testing capabilities and methods for the organisation.",
37,,,,,5,6,7,BPRE,Business process improvement,Change and transformation,Change planning,Creating new and potentially disruptive approaches to performing business activities.,"Activities may include — but are not limited to:

analysing and designing business processes to improve business performance, create business opportunities, deliver new or improved products/services, or improve product/service value chains. Including the adoption and exploitation of data, information, new or existing technologies and cloud-based services
identifying and implementing improvements to business models, business operations and services with improved processes
assessing the costs and potential benefits of new approaches to the organisation and all stakeholders
developing enterprise business process management capabilities to increase organisational agility and responsiveness to change.
",,,,,"Manages the execution of business process improvements. 
Analyses and designs business processes to identify alternative solutions to improve efficiency, effectiveness  and exploit new technologies and automation.
Develops graphical models of business processes to facilitate understanding and decision-making. Assesses the feasibility of business process changes and recommends alternative approaches. 
Selects, tailors and implements methods and tools for improving business processes at programme, project or team level. Contributes to the definition of organisational policies, standards, and guidelines for business process improvement.","Plans and leads strategic, large and complex business process improvement activities aligned with automation, or exploiting existing or new technologies.
Develops organisational policies, standards, and guidelines for business process improvement. 
Leads the introduction of techniques, methodologies and tools to meet business requirements, ensuring consistency across all user groups.
Leads the development of organisational capabilities for business process improvement and ensures adoption and adherence to policies and standards.","Directs the identification, evaluation and adoption of new or existing technologies to improve business processes. 
Aligns business strategies, enterprise transformation, and technology strategies. 
Embeds strategic business process improvement into the governance and leadership of the organisation. 
Directs the creation and review of a cross-functional, enterprise-wide approach and culture for embracing business process management."
38,,,,,5,6,7,OCDV,Organisational capability development,Change and transformation,Change planning,"Providing leadership, advice and implementation support to assess organisational capabilities and to identify, prioritise and implement improvements.","Activities may include — but are not limited to:

selecting, adopting and integrating appropriate industry frameworks and models to guide improvements
using capability maturity assessments, metrics, process definition, process management
building repeatable and reliable capabilities through a process of trial, feedback, learning and continual evolution
developing  appropriate techniques, tools and enhanced skills
designing and delivering integrated people, process and technology solutions to deliver improved organisational performance in line with strategic plans and objectives
identifying organisational priorities for enhancing performance, satisfying new business opportunities or responding to external drivers.

The scope of improvement is typically organisation-wide but may also be highly focused on areas such as — but not limited to — business agility, software development, systems development, project delivery, service integration and management, service delivery, information and cyber-security.",,,,,"Contributes to identifying new areas of capability improvement within the organisation which may be enhancements to skills, technology or processes. 
Develops and maintains a detailed knowledge of capability improvement approaches and techniques and selects appropriate approaches for the organisation. 
Carries out capability improvement assignments, such as maturity or performance assessments to identify strengths and weaknesses. Selects and prioritises improvement opportunities, generates buy-in and plans improvement activities justified by measurable organisational benefits. 
Offers support, guidance, advice and suggestions to help continual improvement activities.","Seeks out, identifies, proposes, and initiates capability improvement activities within the organisation. 
Leads substantial improvement programmes. Plans and manages the evaluation or assessment of organisational capabilities. Selects frameworks, approaches and techniques for use. 
Takes action to exploit opportunities to deliver measurable, beneficial impacts upon operational effectiveness. Devises solutions and leads change initiatives, including communication, transition and implementation activities. 
Monitors international, national, and sector trends in order to establish the needed capability.","Represents and leads organisational capability improvement at the highest level. 
Determines the need for strategic organisation-level capability improvement to satisfy the organisation's strategic goals and long-term objectives.  
Liaises with the organisation's functions to establish requirements and identifies, proposes, initiates and leads significant organisational capability improvement programmes.
Manages the quality and appropriateness of the work performed and delivers measurable business benefits. Adopts and/or modifies existing capability improvement approaches as necessary."
39,,,,4,5,6,7,ORDI,Organisation design and implementation,Change and transformation,Change planning,"Planning, designing and implementing an integrated organisation structure and culture.","Activities may include — but are not limited to:

facilitating changes needed to adapt to changes in technologies, society, new operating models and business processes
identifying key attributes of the required culture and how these can be implemented and reinforced to bring about improved organisational performance.

The scope of organisation design can be wide — including the workplace environment, location strategy and number of locations required, role profiles, performance measurements, competencies and skills.",,,,Assists with the development of organisational structures such as creating role descriptions and career paths.,"Implements organisational structure and culture change activities. 
Conducts impact assessments to ensure organisational structure and cultures are aligned to changes in processes, systems, technology and tools. 
Develops graphical representations of organisation models and structures to facilitate understanding and decision-making. Identifies and evaluates alternative solutions. 
Aligns existing organisational structures, roles, jobs, and career paths to new processes. Advises on implications of introducing new workplace models and tools.","Champions the value of new ways of working to address internal and external opportunities and threats. 
Sets direction and leads in selecting and using organisation design techniques, methodologies and tools. 
Plans and leads organisation design activities — identifies alternatives, assesses feasibility, and recommends solutions. Identifies major changes affecting the organisation, and mobilises resources to implement changes. 
Initiates the definition of new organisation boundaries and creates future organisation design. Outlines performance measurement objectives and the high-level implementation approach.","Establishes and communicates the need and rationale for organisational structure and culture change. 
Secures organisational commitment and resources needed for organisational and culture change. 
Leads organisational change by removing obstacles, advocating and lobbying for change at the highest levels. 
Puts in place mechanisms to reinforce and embed organisational and culture change. Acts as a role model for desired behaviours and sets consistent standards and expectations."
40,,,3,4,5,6,,CIPM,Organisational change management,Change and transformation,Change planning,"Planning, designing and implementing activities to transition the organisation and people to the required future state.","Activities may include — but are not limited to:

developing a business change implementation plan to identify required changes to processes, procedures, systems, structures, ways of working
using a structured process and set of tools for leading the people side of change 
implementing organisational change management practices to support iterative/agile working
assessing change readiness and capacity including — but not limited to — planning around key business cycles, selecting appropriate customers for migration
assessing and developing change management capabilities 
engagement and tailored communication with stakeholders and everyone impacted by the change
monitoring the impact of the change management plan and sustaining and embedding change
coaching change sponsors.
",,,"Follows standard techniques to investigate and analyse the size, nature and impact of changes to operational activities. 
Contributes to the recommendations for change management plans and actions. 
Supports implementation and engages with stakeholders under direction.","Conducts readiness assessments to assess the size, nature and impact of organisational change. 
Defines tactics to use considering the challenges to be addressed. Provides guidance and makes suggestions to support individuals responsible for operational implementation of change management activities.
Gathers feedback to analyse the impact and effectiveness of the change management activities being deployed. Takes corrective action as required.
Develops and communicates tailored change management plans. Establishes and builds relationships with the project sponsors and key stakeholders.","Develops the change management approach and a change management plan in collaboration with sponsors, users and project teams. 
Creates and implements action plans to ensure everything is ready for the change before going live. Acquires change management resources and develops their capabilities to deliver the required changes.
Gathers feedback to allow timely improvements to the change management plan and approach. Assesses risks and takes preventative action. 
Develops and communicates tailored change management plans for senior stakeholder groups. Provides guidance and makes suggestions to support change sponsors.","Defines and communicates the approach for change management for a significant part of the organisation. 
Initiates, plans and leads strategic, large and complex change management initiatives. Provides guidance and raises awareness to help change leaders demonstrate effective behaviours to deliver organisational change. 
Establishes feedback processes and leads analyses of change management successes.  
Enables continual improvements to change management methodology, tools and training necessary to enhance the maturity across the organisation.",
41,,,,,5,6,,BENM,Benefits management,Change and transformation,Change planning,"Forecasting, planning and monitoring the emergence and effective realisation of anticipated benefits from projects and programmes.","Activities may include — but are not limited to:

implementing a benefits management framework and approach
identifying and implementing the actions needed to optimise the business impact of individual and combined benefits
confirming the achievement of expected benefits.

",,,,,"Leads activities required in the realisation of the benefits of each part of the change programme. 
Identifies specific metrics and mechanisms to measure benefits and plans to activate these mechanisms at the required time. Monitors benefits against what was predicted in the business case. 
Ensures that all participants are engaged throughout the change programme and fully prepared to exploit the new operational business environment. 
Supports operational managers to ensure that all plans, work packages and deliverables are aligned with the expected benefits.","Works with operational managers to ensure maximum improvements are made as groups of projects deliver their products into operational use. 
Communicates the change programme vision to staff at all levels of the business and keeps a focus on business objectives. 
Maintains the business case for funding the programme and confirms continuing business viability of the programme at regular intervals.",
42,,,3,4,5,6,,PROD,Product management,Development and implementation,Systems development,"Managing and developing products or services through their full life cycle from inception, growth, maturity, decline to retirement.","Product management can be applied to either internal or external products.
Externally — the focus will usually be on measures such as, but not limited, to customer needs, revenue and profit.
Internally — the focus will usually be on measures such as, but not limited to, user needs and business value.
A product life cycle typically moves from inception, growth, maturity, decline to retirement. The product development life cycle model used will be based on the context of the work and may be selected from predictive (plan-driven) or adaptive (iterative/agile) approaches.",,,"Creates and curates a range of media to support the promotion, marketing and sales of products or service. 
Monitors results and feedback from product campaigns. 
Applies standard techniques and tools to carry out analysis and performance monitoring activities for specified products. 
Supports problem resolution, resolves issues and acts on feedback and usage of in-life products.","Acts as product owner for one or more lower-value products or services. 
Prioritises product requirements, develops product roadmaps and owns the product backlog. Manages elements of the product life cycle to meet customer/user needs and achieve financial or other targets. 
Analyses market and/or user research, feedback, expert opinion and usage data to understand needs and opportunities. 
Facilitates uptake of products by developing content, supporting and evaluating campaigns, and monitoring product performance. Rolls out product trials and product launches.","Acts as product owner/champion for one or more products or services. 
Manages the full product life cycle to ensure that customer/user needs are met and that financial and other targets are achieved. Selects, adopts and adapts appropriate product development methods, tools, and techniques. 
Analyses market and/or user research, feedback, expert opinion and usage data to understand needs and opportunities. Develops product propositions and determines product positioning and variants for different customer and user segments. Prioritises product and service requirements, develops product roadmaps and owns the product backlog. 
Coordinates customer testing and product launches and supports communications and training. Anticipates changes in customer/user needs. Adapts products, and creates product retirement and transitioning plans.","Oversees the organisation’s product and services portfolio and the delivery of customer value and/or user satisfaction over time. 
Creates the product life cycle management framework for internal and external customers and users. Champions the importance and value of product management principles and appropriate product development models. 
Aligns the product management objectives with business objectives and authorises the selection and planning of all product management activities. 
Initiates the creation of new products and services. Identifies how developing new products or adapting existing products can new opportunities.",
